"","year","ADM0_CODE","ADM0_NAME","ADM1_CODE","ADM1_NAME","DISP_AREA","EXP1_YEAR","STATUS","STR1_YEAR","Shape_Area","Shape_Leng","pdsi_avg","pdsi_max","year1","month"
"1","2020",79,"Ethiopia",1236,"SNNPR","NO",3000,"Member State",1994,8.874419918,24.36957451,0.062585449,12.51176471,202011,"11"
"2","2020",79,"Ethiopia",1236,"SNNPR","NO",3000,"Member State",1994,8.874419918,24.36957451,0.982466363,12.47058824,202009,"09"
"3","2020",79,"Ethiopia",1236,"SNNPR","NO",3000,"Member State",1994,8.874419918,24.36957451,0.735725634,11.86323529,202008,"08"
"4","2020",79,"Ethiopia",1236,"SNNPR","NO",3000,"Member State",1994,8.874419918,24.36957451,0.729488503,11.68823529,202010,"10"
"5","2020",79,"Ethiopia",1236,"SNNPR","NO",3000,"Member State",1994,8.874419918,24.36957451,-0.86738267,10.525,202012,"12"
"6","2020",79,"Ethiopia",47678,"Oromia","NO",3000,"Member State",1994,26.46278672,56.27474495,-4.407513381,10.15441176,202010,"10"
"7","2020",79,"Ethiopia",1229,"Amhara","NO",3000,"Member State",1994,12.87963465,26.99781233,-4.371576356,9.794117647,202008,"08"
"8","2020",79,"Ethiopia",1228,"Afar","NO",3000,"Member State",1994,7.901858137,17.19187629,-0.131557468,9.310294118,202008,"08"
"9","2020",79,"Ethiopia",47678,"Oromia","NO",3000,"Member State",1994,26.46278672,56.27474495,-4.339749411,9.279411765,202009,"09"
"10","2020",79,"Ethiopia",47678,"Oromia","NO",3000,"Member State",1994,26.46278672,56.27474495,-4.935285179,9.125,202011,"11"
"11","2021",79,"Ethiopia",1236,"SNNPR","NO",3000,"Member State",1994,8.874419918,24.36957451,-1.910137413,8.939705882,202101,"01"
"12","2020",79,"Ethiopia",1236,"SNNPR","NO",3000,"Member State",1994,8.874419918,24.36957451,-0.495431867,8.425,202007,"07"
"13","2020",79,"Ethiopia",47678,"Oromia","NO",3000,"Member State",1994,26.46278672,56.27474495,-5.506774564,8.229411765,202012,"12"
"14","2020",79,"Ethiopia",1228,"Afar","NO",3000,"Member State",1994,7.901858137,17.19187629,-1.283114588,7.848529412,202009,"09"
"15","2020",79,"Ethiopia",1229,"Amhara","NO",3000,"Member State",1994,12.87963465,26.99781233,-5.260868297,7.786764706,202009,"09"
"16","2020",79,"Ethiopia",47678,"Oromia","NO",3000,"Member State",1994,26.46278672,56.27474495,-4.475936583,7.704411765,202008,"08"
"17","2021",79,"Ethiopia",1236,"SNNPR","NO",3000,"Member State",1994,8.874419918,24.36957451,-2.954932687,7.447058824,202102,"02"
"18","2020",79,"Ethiopia",47679,"Somali","NO",3000,"Member State",1998,25.60629081,36.2466571,-2.379955866,7.004411765,202001,"01"
"19","2020",79,"Ethiopia",47679,"Somali","NO",3000,"Member State",1998,25.60629081,36.2466571,-2.530902512,6.829411765,202003,"03"
"20","2022",79,"Ethiopia",1228,"Afar","NO",3000,"Member State",1994,7.901858137,17.19187629,-2.412931,6.747058824,202208,"08"
"21","2020",79,"Ethiopia",1237,"Tigray","NO",3000,"Member State",1994,4.332836054,16.70116389,-5.663806368,6.644117647,202008,"08"
"22","2019",79,"Ethiopia",47679,"Somali","NO",3000,"Member State",1998,25.60629081,36.2466571,-2.06577819,6.623529412,201912,"12"
"23","2022",79,"Ethiopia",1229,"Amhara","NO",3000,"Member State",1994,12.87963465,26.99781233,-6.935239965,6.407352941,202208,"08"
"24","2021",79,"Ethiopia",47678,"Oromia","NO",3000,"Member State",1994,26.46278672,56.27474495,-6.185323423,6.376470588,202101,"01"
"25","2020",79,"Ethiopia",1229,"Amhara","NO",3000,"Member State",1994,12.87963465,26.99781233,-6.027838697,6.191176471,202010,"10"
"26","2020",79,"Ethiopia",1237,"Tigray","NO",3000,"Member State",1994,4.332836054,16.70116389,-5.805962574,6.129411765,202009,"09"
"27","2020",79,"Ethiopia",1228,"Afar","NO",3000,"Member State",1994,7.901858137,17.19187629,-2.145498314,5.995588235,202010,"10"
"28","2020",79,"Ethiopia",47679,"Somali","NO",3000,"Member State",1998,25.60629081,36.2466571,-1.913064776,5.975,202004,"04"
"29","2018",79,"Ethiopia",1229,"Amhara","NO",3000,"Member State",1994,12.87963465,26.99781233,-4.136818072,5.902941176,201807,"07"
"30","2021",79,"Ethiopia",1228,"Afar","NO",3000,"Member State",1994,7.901858137,17.19187629,-2.27208851,5.717647059,202107,"07"
"31","2021",79,"Ethiopia",1229,"Amhara","NO",3000,"Member State",1994,12.87963465,26.99781233,-6.106809307,5.717647059,202107,"07"
"32","2020",79,"Ethiopia",47679,"Somali","NO",3000,"Member State",1998,25.60629081,36.2466571,-3.149084728,5.717647059,202002,"02"
"33","2021",79,"Ethiopia",1229,"Amhara","NO",3000,"Member State",1994,12.87963465,26.99781233,-6.759562395,5.645588235,202109,"09"
"34","2022",79,"Ethiopia",1228,"Afar","NO",3000,"Member State",1994,7.901858137,17.19187629,-2.973302806,5.604411765,202209,"09"
"35","2022",79,"Ethiopia",1229,"Amhara","NO",3000,"Member State",1994,12.87963465,26.99781233,-6.676128794,5.552941176,202209,"09"
"36","2020",79,"Ethiopia",1229,"Amhara","NO",3000,"Member State",1994,12.87963465,26.99781233,-5.626025908,5.45,202007,"07"
"37","2021",79,"Ethiopia",1229,"Amhara","NO",3000,"Member State",1994,12.87963465,26.99781233,-6.693071899,5.213235294,202108,"08"
"38","2020",79,"Ethiopia",47678,"Oromia","NO",3000,"Member State",1994,26.46278672,56.27474495,-5.877464829,5.213235294,202007,"07"
"39","2021",79,"Ethiopia",1229,"Amhara","NO",3000,"Member State",1994,12.87963465,26.99781233,-6.456934005,5.141176471,202110,"10"
"40","2018",79,"Ethiopia",1229,"Amhara","NO",3000,"Member State",1994,12.87963465,26.99781233,-3.630179661,5.079411765,201808,"08"
"41","2020",79,"Ethiopia",1228,"Afar","NO",3000,"Member State",1994,7.901858137,17.19187629,-2.764023045,5.017647059,202011,"11"
"42","2020",79,"Ethiopia",1229,"Amhara","NO",3000,"Member State",1994,12.87963465,26.99781233,-6.587166626,5.017647059,202011,"11"
"43","2020",79,"Ethiopia",1228,"Afar","NO",3000,"Member State",1994,7.901858137,17.19187629,-3.103451486,4.894117647,202007,"07"
"44","2021",79,"Ethiopia",47678,"Oromia","NO",3000,"Member State",1994,26.46278672,56.27474495,-6.799555306,4.811764706,202102,"02"
"45","2018",79,"Ethiopia",1228,"Afar","NO",3000,"Member State",1994,7.901858137,17.19187629,-5.260719627,4.770588235,201807,"07"
"46","2020",79,"Ethiopia",1237,"Tigray","NO",3000,"Member State",1994,4.332836054,16.70116389,-6.679380693,4.719117647,202010,"10"
"47","2021",79,"Ethiopia",1236,"SNNPR","NO",3000,"Member State",1994,8.874419918,24.36957451,-4.850673998,4.667647059,202103,"03"
"48","2018",79,"Ethiopia",1228,"Afar","NO",3000,"Member State",1994,7.901858137,17.19187629,-5.134429597,4.152941176,201808,"08"
"49","2018",79,"Ethiopia",1229,"Amhara","NO",3000,"Member State",1994,12.87963465,26.99781233,-3.991895708,4.05,201809,"09"
"50","2022",79,"Ethiopia",1228,"Afar","NO",3000,"Member State",1994,7.901858137,17.19187629,-3.636932798,3.926470588,202210,"10"
"51","2022",79,"Ethiopia",1229,"Amhara","NO",3000,"Member State",1994,12.87963465,26.99781233,-6.188898368,3.916176471,202210,"10"
