"","year","ADM0_CODE","ADM0_NAME","ADM1_CODE","ADM1_NAME","DISP_AREA","EXP1_YEAR","STATUS","STR1_YEAR","Shape_Area","Shape_Leng","pdsi_avg","pdsi_max","year1","month"
"194","2022",79,"Ethiopia",47679,"Somali","NO",3000,"Member State",1998,25.60629081,36.2466571,-11.66518654,4.661764706,202207,"07"
"195","2020",79,"Ethiopia",1229,"Amhara","NO",3000,"Member State",1994,12.87963465,26.99781233,-3.773676463,4.632352941,202005,"05"
"196","2019",79,"Ethiopia",47679,"Somali","NO",3000,"Member State",1998,25.60629081,36.2466571,-6.688764195,4.617647059,201909,"09"
"197","2021",79,"Ethiopia",47678,"Oromia","NO",3000,"Member State",1994,26.46278672,56.27474495,-7.981998256,4.485294118,202109,"09"
"198","2022",79,"Ethiopia",1236,"SNNPR","NO",3000,"Member State",1994,8.874419918,24.36957451,-8.976115066,4.470588235,202202,"02"
"199","2018",79,"Ethiopia",1237,"Tigray","NO",3000,"Member State",1994,4.332836054,16.70116389,-0.046705407,4.470588235,201812,"12"
"200","2022",79,"Ethiopia",47679,"Somali","NO",3000,"Member State",1998,25.60629081,36.2466571,-12.10173608,4.455882353,202211,"11"
"201","2021",79,"Ethiopia",1237,"Tigray","NO",3000,"Member State",1994,4.332836054,16.70116389,-7.16593612,4.441176471,202106,"06"
"202","2018",79,"Ethiopia",47678,"Oromia","NO",3000,"Member State",1994,26.46278672,56.27474495,-2.730183949,4.323529412,201805,"05"
"203","2018",79,"Ethiopia",47679,"Somali","NO",3000,"Member State",1998,25.60629081,36.2466571,-0.208148865,4.323529412,201806,"06"
"204","2021",79,"Ethiopia",47679,"Somali","NO",3000,"Member State",1998,25.60629081,36.2466571,-6.461125784,4.205882353,202107,"07"
"205","2021",79,"Ethiopia",1228,"Afar","NO",3000,"Member State",1994,7.901858137,17.19187629,-4.068563735,4.191176471,202111,"11"
"206","2019",79,"Ethiopia",1229,"Amhara","NO",3000,"Member State",1994,12.87963465,26.99781233,-2.848400267,4.176470588,201901,"01"
"207","2021",79,"Ethiopia",1236,"SNNPR","NO",3000,"Member State",1994,8.874419918,24.36957451,-7.643023006,4.176470588,202107,"07"
"208","2018",79,"Ethiopia",1237,"Tigray","NO",3000,"Member State",1994,4.332836054,16.70116389,-0.092206738,4.176470588,201808,"08"
"209","2019",79,"Ethiopia",1231,"Dire Dawa","NO",3000,"Member State",1998,0.08677634,1.696148857,-0.114374934,4.176470588,201910,"10"
"210","2019",79,"Ethiopia",1231,"Dire Dawa","NO",3000,"Member State",1998,0.08677634,1.696148857,0.492018686,4.176470588,201912,"12"
"211","2021",79,"Ethiopia",1229,"Amhara","NO",3000,"Member State",1994,12.87963465,26.99781233,-7.001850363,4.029411765,202104,"04"
"212","2019",79,"Ethiopia",1236,"SNNPR","NO",3000,"Member State",1994,8.874419918,24.36957451,-8.348983817,4.029411765,201907,"07"
"213","2019",79,"Ethiopia",1236,"SNNPR","NO",3000,"Member State",1994,8.874419918,24.36957451,-6.784915845,4.029411765,201910,"10"
"214","2021",79,"Ethiopia",1237,"Tigray","NO",3000,"Member State",1994,4.332836054,16.70116389,-6.025495649,4.029411765,202104,"04"
"215","2018",79,"Ethiopia",47679,"Somali","NO",3000,"Member State",1998,25.60629081,36.2466571,-0.871278843,4.029411765,201811,"11"
"216","2021",79,"Ethiopia",1229,"Amhara","NO",3000,"Member State",1994,12.87963465,26.99781233,-7.32430292,4.014705882,202103,"03"
"217","2021",79,"Ethiopia",1237,"Tigray","NO",3000,"Member State",1994,4.332836054,16.70116389,-6.150214299,4.014705882,202103,"03"
"218","2020",79,"Ethiopia",1232,"Gambela","NO",3000,"Member State",1994,2.516956145,10.97660878,-6.22853751,3.955882353,202012,"12"
"219","2018",79,"Ethiopia",1228,"Afar","NO",3000,"Member State",1994,7.901858137,17.19187629,-1.529913406,3.882352941,201805,"05"
"220","2019",79,"Ethiopia",1228,"Afar","NO",3000,"Member State",1994,7.901858137,17.19187629,-8.030812044,3.882352941,201909,"09"
"221","2019",79,"Ethiopia",1232,"Gambela","NO",3000,"Member State",1994,2.516956145,10.97660878,-7.816439913,3.882352941,201908,"08"
"222","2019",79,"Ethiopia",1236,"SNNPR","NO",3000,"Member State",1994,8.874419918,24.36957451,-4.206894791,3.882352941,201912,"12"
"223","2021",79,"Ethiopia",47678,"Oromia","NO",3000,"Member State",1994,26.46278672,56.27474495,-7.96230758,3.794117647,202110,"10"
"224","2019",79,"Ethiopia",47678,"Oromia","NO",3000,"Member State",1994,26.46278672,56.27474495,-6.442436188,3.735294118,201911,"11"
"225","2018",79,"Ethiopia",1236,"SNNPR","NO",3000,"Member State",1994,8.874419918,24.36957451,-4.281446072,3.735294118,201809,"09"
"226","2021",79,"Ethiopia",47679,"Somali","NO",3000,"Member State",1998,25.60629081,36.2466571,-5.359279454,3.632352941,202101,"01"
"227","2018",79,"Ethiopia",1228,"Afar","NO",3000,"Member State",1994,7.901858137,17.19187629,-1.190368401,3.588235294,201803,"03"
"228","2018",79,"Ethiopia",47678,"Oromia","NO",3000,"Member State",1994,26.46278672,56.27474495,-3.844957311,3.588235294,201809,"09"
"229","2019",79,"Ethiopia",1237,"Tigray","NO",3000,"Member State",1994,4.332836054,16.70116389,-1.004558233,3.588235294,201901,"01"
"230","2019",79,"Ethiopia",1231,"Dire Dawa","NO",3000,"Member State",1998,0.08677634,1.696148857,0.167349582,3.588235294,201911,"11"
"231","2020",79,"Ethiopia",1231,"Dire Dawa","NO",3000,"Member State",1998,0.08677634,1.696148857,0.312697109,3.529411765,202001,"01"
"232","2022",79,"Ethiopia",1237,"Tigray","NO",3000,"Member State",1994,4.332836054,16.70116389,-6.938963002,3.485294118,202202,"02"
"233","2019",79,"Ethiopia",1228,"Afar","NO",3000,"Member State",1994,7.901858137,17.19187629,-4.899916989,3.441176471,201912,"12"
"234","2020",79,"Ethiopia",1229,"Amhara","NO",3000,"Member State",1994,12.87963465,26.99781233,-4.813281123,3.441176471,202004,"04"
"235","2019",79,"Ethiopia",47678,"Oromia","NO",3000,"Member State",1994,26.46278672,56.27474495,-7.689403344,3.441176471,201910,"10"
"236","2019",79,"Ethiopia",1236,"SNNPR","NO",3000,"Member State",1994,8.874419918,24.36957451,-5.492723217,3.441176471,201911,"11"
"237","2018",79,"Ethiopia",47679,"Somali","NO",3000,"Member State",1998,25.60629081,36.2466571,-1.021631434,3.441176471,201807,"07"
"238","2022",79,"Ethiopia",47679,"Somali","NO",3000,"Member State",1998,25.60629081,36.2466571,-11.6211507,3.441176471,202212,"12"
"239","2021",79,"Ethiopia",1236,"SNNPR","NO",3000,"Member State",1994,8.874419918,24.36957451,-7.582588575,3.426470588,202110,"10"
"240","2022",79,"Ethiopia",1236,"SNNPR","NO",3000,"Member State",1994,8.874419918,24.36957451,-9.148433055,3.411764706,202210,"10"
"241","2021",79,"Ethiopia",1236,"SNNPR","NO",3000,"Member State",1994,8.874419918,24.36957451,-7.367002079,3.382352941,202106,"06"
"242","2020",79,"Ethiopia",1237,"Tigray","NO",3000,"Member State",1994,4.332836054,16.70116389,-5.399704188,3.308823529,202004,"04"
"243","2019",79,"Ethiopia",1228,"Afar","NO",3000,"Member State",1994,7.901858137,17.19187629,-6.184791375,3.294117647,201901,"01"
"244","2019",79,"Ethiopia",1229,"Amhara","NO",3000,"Member State",1994,12.87963465,26.99781233,-3.031171339,3.147058824,201902,"02"
"245","2019",79,"Ethiopia",1229,"Amhara","NO",3000,"Member State",1994,12.87963465,26.99781233,-2.743477478,3.147058824,201906,"06"
"246","2018",79,"Ethiopia",1236,"SNNPR","NO",3000,"Member State",1994,8.874419918,24.36957451,-5.211841499,3.147058824,201805,"05"
"247","2022",79,"Ethiopia",1236,"SNNPR","NO",3000,"Member State",1994,8.874419918,24.36957451,-10.29298635,3.132352941,202208,"08"
"248","2021",79,"Ethiopia",47679,"Somali","NO",3000,"Member State",1998,25.60629081,36.2466571,-7.835831469,3.073529412,202109,"09"
"249","2021",79,"Ethiopia",1228,"Afar","NO",3000,"Member State",1994,7.901858137,17.19187629,-6.361938027,3.014705882,202103,"03"
"250","2022",79,"Ethiopia",1232,"Gambela","NO",3000,"Member State",1994,2.516956145,10.97660878,-9.806857331,3.014705882,202211,"11"
"251","2019",79,"Ethiopia",1232,"Gambela","NO",3000,"Member State",1994,2.516956145,10.97660878,-8.102885805,3,201907,"07"
"252","2018",79,"Ethiopia",1233,"Hareri","NO",3000,"Member State",1994,0.030516708,0.763939268,2.520985397,3,201804,"04"
"253","2019",79,"Ethiopia",1237,"Tigray","NO",3000,"Member State",1994,4.332836054,16.70116389,-4.189268311,3,201907,"07"
"254","2018",79,"Ethiopia",47679,"Somali","NO",3000,"Member State",1998,25.60629081,36.2466571,-1.186466798,3,201812,"12"
"255","2021",79,"Ethiopia",1228,"Afar","NO",3000,"Member State",1994,7.901858137,17.19187629,-5.072416258,2.970588235,202112,"12"
"256","2022",79,"Ethiopia",1237,"Tigray","NO",3000,"Member State",1994,4.332836054,16.70116389,-9.31369731,2.882352941,202207,"07"
"257","2020",79,"Ethiopia",1237,"Tigray","NO",3000,"Member State",1994,4.332836054,16.70116389,-3.628558436,2.867647059,202005,"05"
"258","2018",79,"Ethiopia",1228,"Afar","NO",3000,"Member State",1994,7.901858137,17.19187629,-0.772578705,2.852941176,201804,"04"
"259","2019",79,"Ethiopia",1228,"Afar","NO",3000,"Member State",1994,7.901858137,17.19187629,-7.548610554,2.852941176,201908,"08"
"260","2022",79,"Ethiopia",1229,"Amhara","NO",3000,"Member State",1994,12.87963465,26.99781233,-6.886412358,2.852941176,202203,"03"
"261","2018",79,"Ethiopia",1233,"Hareri","NO",3000,"Member State",1994,0.030516708,0.763939268,2.185093659,2.852941176,201803,"03"
"262","2019",79,"Ethiopia",1237,"Tigray","NO",3000,"Member State",1994,4.332836054,16.70116389,-1.490557425,2.852941176,201902,"02"
"263","2019",79,"Ethiopia",47679,"Somali","NO",3000,"Member State",1998,25.60629081,36.2466571,-6.230895298,2.852941176,201906,"06"
"264","2020",79,"Ethiopia",1228,"Afar","NO",3000,"Member State",1994,7.901858137,17.19187629,-4.885933632,2.720588235,202001,"01"
"265","2018",79,"Ethiopia",1229,"Amhara","NO",3000,"Member State",1994,12.87963465,26.99781233,-2.286311335,2.705882353,201803,"03"
"266","2018",79,"Ethiopia",1231,"Dire Dawa","NO",3000,"Member State",1998,0.08677634,1.696148857,2.128768563,2.705882353,201804,"04"
"267","2018",79,"Ethiopia",47679,"Somali","NO",3000,"Member State",1998,25.60629081,36.2466571,-1.275774797,2.705882353,201808,"08"
"268","2020",79,"Ethiopia",1231,"Dire Dawa","NO",3000,"Member State",1998,0.08677634,1.696148857,0.573540196,2.661764706,202008,"08"
"269","2021",79,"Ethiopia",1236,"SNNPR","NO",3000,"Member State",1994,8.874419918,24.36957451,-8.414335627,2.602941176,202108,"08"
"270","2018",79,"Ethiopia",1228,"Afar","NO",3000,"Member State",1994,7.901858137,17.19187629,-3.899425975,2.558823529,201801,"01"
"271","2019",79,"Ethiopia",1229,"Amhara","NO",3000,"Member State",1994,12.87963465,26.99781233,-3.589409447,2.558823529,201903,"03"
"272","2018",79,"Ethiopia",1236,"SNNPR","NO",3000,"Member State",1994,8.874419918,24.36957451,-4.197374022,2.558823529,201810,"10"
"273","2019",79,"Ethiopia",1231,"Dire Dawa","NO",3000,"Member State",1998,0.08677634,1.696148857,-1.771306761,2.558823529,201909,"09"
"274","2021",79,"Ethiopia",47678,"Oromia","NO",3000,"Member State",1994,26.46278672,56.27474495,-8.258814862,2.529411765,202111,"11"
"275","2020",79,"Ethiopia",1232,"Gambela","NO",3000,"Member State",1994,2.516956145,10.97660878,-8.071291101,2.426470588,202001,"01"
"276","2019",79,"Ethiopia",1228,"Afar","NO",3000,"Member State",1994,7.901858137,17.19187629,-5.993493163,2.411764706,201907,"07"
"277","2018",79,"Ethiopia",1231,"Dire Dawa","NO",3000,"Member State",1998,0.08677634,1.696148857,1.644522647,2.411764706,201805,"05"
"278","2018",79,"Ethiopia",47679,"Somali","NO",3000,"Member State",1998,25.60629081,36.2466571,-1.545128709,2.411764706,201810,"10"
"279","2021",79,"Ethiopia",1232,"Gambela","NO",3000,"Member State",1994,2.516956145,10.97660878,-6.885040386,2.382352941,202101,"01"
"280","2022",79,"Ethiopia",1232,"Gambela","NO",3000,"Member State",1994,2.516956145,10.97660878,-9.66883125,2.352941176,202212,"12"
"281","2019",79,"Ethiopia",1232,"Gambela","NO",3000,"Member State",1994,2.516956145,10.97660878,-8.033657575,2.264705882,201910,"10"
"282","2018",79,"Ethiopia",1233,"Hareri","NO",3000,"Member State",1994,0.030516708,0.763939268,1.892619459,2.264705882,201805,"05"
"283","2018",79,"Ethiopia",47678,"Oromia","NO",3000,"Member State",1994,26.46278672,56.27474495,-3.911987633,2.264705882,201810,"10"
"284","2019",79,"Ethiopia",1237,"Tigray","NO",3000,"Member State",1994,4.332836054,16.70116389,-1.082718816,2.264705882,201906,"06"
"285","2019",79,"Ethiopia",47679,"Somali","NO",3000,"Member State",1998,25.60629081,36.2466571,-1.694069408,2.264705882,201901,"01"
"286","2020",79,"Ethiopia",1231,"Dire Dawa","NO",3000,"Member State",1998,0.08677634,1.696148857,-0.083178402,2.25,202007,"07"
"287","2022",79,"Ethiopia",1236,"SNNPR","NO",3000,"Member State",1994,8.874419918,24.36957451,-9.959615436,2.191176471,202203,"03"
"288","2018",79,"Ethiopia",1231,"Dire Dawa","NO",3000,"Member State",1998,0.08677634,1.696148857,1.573138914,2.117647059,201803,"03"
"289","2018",79,"Ethiopia",1231,"Dire Dawa","NO",3000,"Member State",1998,0.08677634,1.696148857,1.472410977,2.117647059,201806,"06"
"290","2018",79,"Ethiopia",47679,"Somali","NO",3000,"Member State",1998,25.60629081,36.2466571,-1.674698205,2.117647059,201809,"09"
"291","2020",79,"Ethiopia",1232,"Gambela","NO",3000,"Member State",1994,2.516956145,10.97660878,-7.986088062,2.088235294,202002,"02"
"292","2021",79,"Ethiopia",47679,"Somali","NO",3000,"Member State",1998,25.60629081,36.2466571,-5.994523023,2.088235294,202102,"02"
"293","2020",79,"Ethiopia",1233,"Hareri","NO",3000,"Member State",1994,0.030516708,0.763939268,0.700228796,2.044117647,202009,"09"
"294","2020",79,"Ethiopia",1231,"Dire Dawa","NO",3000,"Member State",1998,0.08677634,1.696148857,-0.950589229,2,202002,"02"
"295","2018",79,"Ethiopia",1233,"Hareri","NO",3000,"Member State",1994,0.030516708,0.763939268,1.690175817,1.970588235,201806,"06"
"296","2018",79,"Ethiopia",1236,"SNNPR","NO",3000,"Member State",1994,8.874419918,24.36957451,-3.730024501,1.970588235,201812,"12"
"297","2019",79,"Ethiopia",1236,"SNNPR","NO",3000,"Member State",1994,8.874419918,24.36957451,-8.405664668,1.970588235,201908,"08"
"298","2019",79,"Ethiopia",1237,"Tigray","NO",3000,"Member State",1994,4.332836054,16.70116389,-2.16824828,1.970588235,201903,"03"
"299","2021",79,"Ethiopia",47679,"Somali","NO",3000,"Member State",1998,25.60629081,36.2466571,-7.78433542,1.867647059,202105,"05"
"300","2018",79,"Ethiopia",1229,"Amhara","NO",3000,"Member State",1994,12.87963465,26.99781233,-2.816332597,1.823529412,201804,"04"
"301","2019",79,"Ethiopia",47678,"Oromia","NO",3000,"Member State",1994,26.46278672,56.27474495,-8.756617836,1.823529412,201909,"09"
"302","2022",79,"Ethiopia",1237,"Tigray","NO",3000,"Member State",1994,4.332836054,16.70116389,-7.740225455,1.735294118,202203,"03"
"303","2019",79,"Ethiopia",1228,"Afar","NO",3000,"Member State",1994,7.901858137,17.19187629,-7.038573252,1.676470588,201902,"02"
"304","2022",79,"Ethiopia",1228,"Afar","NO",3000,"Member State",1994,7.901858137,17.19187629,-5.40393117,1.676470588,202201,"01"
"305","2019",79,"Ethiopia",1232,"Gambela","NO",3000,"Member State",1994,2.516956145,10.97660878,-8.9597333,1.676470588,201909,"09"
"306","2021",79,"Ethiopia",47678,"Oromia","NO",3000,"Member State",1994,26.46278672,56.27474495,-8.477953807,1.676470588,202112,"12"
"307","2020",79,"Ethiopia",1233,"Hareri","NO",3000,"Member State",1994,0.030516708,0.763939268,0.268646304,1.588235294,202010,"10"
"308","2020",79,"Ethiopia",1233,"Hareri","NO",3000,"Member State",1994,0.030516708,0.763939268,0.05777056,1.544117647,202008,"08"
"309","2018",79,"Ethiopia",1228,"Afar","NO",3000,"Member State",1994,7.901858137,17.19187629,-2.379800628,1.529411765,201802,"02"
"310","2019",79,"Ethiopia",1232,"Gambela","NO",3000,"Member State",1994,2.516956145,10.97660878,-8.546075509,1.529411765,201911,"11"
